date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-04-11,NY,23095,440980,9946,180458.0,783,8627.0
2020-04-11,PA,7134,120153,1676,21655.0,78,494.0
2020-04-11,TX,4815,120533,890,12561.0,28,254.0
2020-04-12,CA,17109,190328,1179,21794.0,42,651.0
2020-04-12,FL,9820,182753,861,19355.0,27,465.0
2020-04-12,NY,20621,461601,8236,188694.0,758,9385.0
2020-04-12,PA,4737,124890,1178,22833.0,13,507.0
2020-04-12,TX,4000,124533,923,13484.0,17,271.0
2020-04-13,CA,554,190882,554,22348.0,36,687.0
2020-04-13,FL,13454,196207,1246,20601.0,18,483.0
2020-04-13,NY,16756,478357,6337,195031.0,671,10056.0
2020-04-13,PA,4902,129792,1366,24199.0,17,524.0
2020-04-13,TX,8693,133226,422,13906.0,16,287.0
2020-04-14,CA,11326,202208,990,23338.0,71,758.0
2020-04-14,FL,6973,203180,766,21367.0,54,537.0
2020-04-14,NY,20786,499143,7177,202208.0,778,10834.0
2020-04-14,PA,3839,133631,1146,25345.0,60,584.0
2020-04-14,TX,13241,146467,718,14624.0,31,318.0
2020-04-15,CA,14278,216486,1086,24424.0,63,821.0
2020-04-15,FL,10329,213509,1144,22511.0,72,609.0
2020-04-15,NY,26869,526012,11571,213779.0,752,11586.0
2020-04-15,PA,3953,137584,1145,26490.0,63,647.0
2020-04-15,TX,5343,151810,868,15492.0,46,364.0
2020-04-16,CA,29914,246400,1758,26182.0,69,890.0
2020-04-16,FL,5739,219248,386,22897.0,37,646.0
2020-04-16,NY,24567,550579,8505,222284.0,606,12192.0
2020-04-16,PA,3886,141470,1245,27735.0,60,707.0
2020-04-16,TX,6737,158547,963,16455.0,29,393.0
2020-04-17,CA,5214,251614,1346,27528.0,95,985.0
2020-04-17,FL,15589,234837,1222,24119.0,53,699.0
2020-04-17,NY,22644,573223,7358,229642.0,630,12822.0
2020-04-17,PA,5903,147373,1706,29441.0,49,756.0
2020-04-17,TX,10989,169536,916,17371.0,35,428.0
2020-04-18,CA,8052,259666,1435,28963.0,87,1072.0
2020-04-18,FL,11690,246527,1150,25269.0,55,754.0
2020-04-18,NY,23309,596532,7090,236732.0,540,13362.0
2020-04-18,PA,6592,153965,1628,31069.0,80,836.0
2020-04-18,TX,6703,176239,889,18260.0,25,453.0
2020-04-19,CA,21234,280900,1370,30333.0,94,1166.0
2020-04-19,FL,9552,256079,727,25996.0,27,781.0
2020-04-19,NY,21023,617555,6054,242786.0,507,13869.0
2020-04-19,PA,4889,158854,1215,32284.0,276,1112.0
2020-04-19,TX,6471,182710,663,18923.0,24,477.0
2020-04-20,CA,9600,290500,645,30978.0,42,1208.0
2020-04-20,FL,10146,266225,664,26660.0,25,806.0
2020-04-20,NY,16306,633861,4726,247512.0,478,14347.0
2020-04-20,PA,4098,162952,948,33232.0,92,1204.0
2020-04-20,TX,7684,190394,535,19458.0,18,495.0
2020-04-21,CA,9600,300100,2283,33261.0,60,1268.0
2020-04-21,FL,10834,277059,835,27495.0,50,856.0
2020-04-21,NY,15464,649325,4178,251690.0,481,14828.0
2020-04-21,PA,3899,166851,1296,34528.0,360,1564.0
2020-04-21,TX,15005,205399,738,20196.0,22,517.0
2020-04-22,CA,165227,465327,2135,35396.0,86,1354.0
2020-04-22,FL,11568,288627,814,28309.0,54,910.0
2020-04-22,NY,20657,669982,5526,257216.0,474,15302.0
2020-04-22,PA,5105,171956,1156,35684.0,58,1622.0
2020-04-22,TX,11384,216783,873,21069.0,26,543.0
2020-04-23,CA,16770,482097,1973,37369.0,115,1469.0
2020-04-23,FL,8081,296708,523,28832.0,69,979.0
2020-04-23,NY,25938,695920,6244,263460.0,438,15740.0
2020-04-23,PA,7158,179114,1369,37053.0,-201,1421.0
2020-04-23,TX,8295,225078,875,21944.0,18,561.0
2020-04-24,CA,12076,494173,1885,39254.0,93,1562.0
2020-04-24,FL,20251,316959,1342,30174.0,52,1031.0
2020-04-24,NY,34736,730656,8130,271590.0,422,16162.0
2020-04-24,PA,7029,186143,1599,38652.0,71,1492.0
2020-04-24,TX,17469,242547,862,22806.0,32,593.0
2020-04-25,CA,11862,506035,1883,41137.0,89,1651.0
2020-04-25,FL,16140,333099,665,30839.0,44,1075.0
2020-04-25,NY,46912,777568,10553,282143.0,437,16599.0
2020-04-25,PA,6792,192935,1397,40049.0,45,1537.0
2020-04-25,TX,20269,262816,967,23773.0,30,623.0
